epigenome	mark	ChromImpute_top1%	ChromImpute_corr_clip500	Average_top1%	Average_corr_clip500
IHECRE00000318.2	H3K27ac	81.6176	0.9233	51.6872	0.6994
IHECRE00000321.2	H3K27ac	16.0137	0.5166	13.3261	0.4127
IHECRE00000324.2	H3K27ac	75.3931	0.9189	50.137	0.7753
IHECRE00000327.2	H3K27ac	68.5305	0.7584	44.3013	0.5782
IHECRE00000329.2	H3K27ac	83.7096	0.9439	54.6501	0.8191
IHECRE00000330.2	H3K27ac	71.828	0.8821	53.3485	0.81
IHECRE00000332.2	H3K27ac	73.9256	0.9093	46.2505	0.7543
IHECRE00000335.2	H3K27ac	38.9723	0.745	32.2596	0.6573
IHECRE00000339.2	H3K27ac	12.2482	0.4275	10.1788	0.3215
IHECRE00000341.2	H3K27ac	67.7649	0.8434	43.4745	0.6961
IHECRE00000343.2	H3K27ac	70.1094	0.8323	55.5924	0.7468
IHECRE00000346.2	H3K27ac	79.7973	0.8992	55.4744	0.7585
IHECRE00000347.2	H3K27ac	65.6191	0.8613	43.9996	0.7236
IHECRE00000348.2	H3K27ac	13.225	0.3532	11.2831	0.297
IHECRE00000349.2	H3K27ac	84.691	0.9509	55.4696	0.8139
IHECRE00000353.2	H3K27ac	85.8705	0.8989	50.3192	0.61
IHECRE00000354.2	H3K27ac	50.7513	0.7496	36.2652	0.6686
IHECRE00000642.1	H3K27ac	39.5431	0.5257	17.0921	0.2101
IHECRE00000648.3	H3K27ac	62.524	0.7926	37.8311	0.566
IHECRE00000663.3	H3K27ac	76.5765	0.8754	42.6144	0.5513
IHECRE00000665.1	H3K27ac	55.7284	0.7264	40.7702	0.5592
IHECRE00000666.1	H3K27ac	77.2705	0.853	43.0448	0.5559
IHECRE00000676.1	H3K27ac	35.8549	0.4365	22.6555	0.261
IHECRE00000683.3	H3K27ac	80.2805	0.8135	57.6394	0.7564
IHECRE00000701.3	H3K27ac	69.0865	0.8685	40.1472	0.5995
IHECRE00000704.1	H3K27ac	78.8901	0.9033	47.5749	0.6114
IHECRE00000709.3	H3K27ac	29.1428	0.4489	16.3517	0.2181
IHECRE00000718.3	H3K27ac	74.1454	0.7894	43.4963	0.476
IHECRE00000726.3	H3K27ac	52.6829	0.7135	21.7625	0.2625
IHECRE00000728.1	H3K27ac	79.1603	0.8882	41.4432	0.5205
IHECRE00000729.3	H3K27ac	68.4769	0.7725	30.857	0.3222
IHECRE00000732.1	H3K27ac	46.449	0.6569	18.1604	0.2274
